Название услуги,Цена,Код услуги,Длительность
"Морская свинка (эпителий) IgE, E6",780.00,17.2.A16,1 дн
"Мышь IgE, E88",780.00,17.2.A17,1 дн
"Гусь (перо) IgE, E70",1045.00,17.2.A2,1 дн
"Овца (эпителий) IgE, E81",1045.00,17.2.A21,1 дн
"Попугай (перо) IgE, E91",1045.00,17.2.A22,1 дн
"Попугай волнистый (перо) IgE, E78",1025.00,17.2.A23,1 дн
"Свинья (эпителий) IgE, E83",780.00,17.2.A24,1 дн
"Собака (перхоть) IgE, E5",780.00,17.2.A25,1 дн
"Собака (эпителий) IgE, E2",780.00,17.2.A26,1 дн
"Утка (перо) IgE, E86",780.00,17.2.A27,1 дн
"Хомяк (эпителий) IgE, E84",780.00,17.2.A28,1 дн
"Канарейка (перо) IgE, E201",780.00,17.2.A4,1 дн
"Коза (эпителий) IgE, E80",780.00,17.2.A5,1 дн
"Корова (перхоть) IgE, E4",780.00,17.2.A6,1 дн
"Кошка (эпителий) IgE, E1",780.00,17.2.A7,1 дн
"Кролик (эпителий) IgE, E82",780.00,17.2.A8,1 дн
"Крыса IgE, E87",1045.00,17.2.A9,1 дн
Фадиатоп детский (сбалансированная смесь ингаляционных и пищевых аллергенов для скрининга атопии для детей до 4 лет),2835.00,17.30.A43,5-10 дн
Фадиатоп (сбалансированная смесь ингаляционных аллергенов для скрининга атопии для детей старше 4 лет и взрослых),3395.00,17.30.A44,5-10 дн
"Панель пищевых аллергенов №1 IgG (арахис, миндаль, фундук, кокос, бразильский орех - суммарно)",2310.00,17.31.A1,5-10 дн
"Панель пищевых аллергенов №25 IgG (семена кунжута, пекарские дрожжи, чеснок, сельдерей - суммарно)",2310.00,17.31.A10,5-10 дн
"Панель пищевых аллергенов №26 IgG (яичный белок, молоко, арахис,горчица - суммарно)",2310.00,17.31.A11,5-10 дн
"Панель пищевых аллергенов №50 IgG (киви, манго, бананы, ананас - суммарно)",2310.00,17.31.A12,5-10 дн
"Панель пищевых аллергенов №51 IgG (помидор, картофель, морковь, чеснок, горчица - суммарно)",2310.00,17.31.A13,5-10 дн
"Панель пищевых аллергенов №73 IgG (свинина, куриное мясо, говядина, баранина - суммарно)",2310.00,17.31.A14,5-10 дн
"Панель пищевых аллергенов №2 IgG (треска, тунец, креветки, лосось, мидии - суммарно)",2310.00,17.31.A2,5-10 дн
"Панель пищевых аллергенов №3 IgG (пшеничная мука, овсяная мука, кукурузная мука, семена кунжута, гречневая мука - суммарно)",2310.00,17.31.A3,5-10 дн
"Панель пищевых аллергенов №5 IgG (яичный белок, молоко, треска, пшеничная мука, арахис, соевые бобы - суммарно)",2310.00,17.31.A4,5-10 дн
"Панель пищевых аллергенов №6 IgG (рис, семена кунжута, пшеничная мука, гречневая мука, соевые бобы - суммарно)",2310.00,17.31.A5,5-10 дн
"Панель пищевых аллергенов №7 IgG (яичный белок, рис, коровье молоко, aрахис, пшеничная мука, соевые бобы - суммарно)",2310.00,17.31.A6,5-10 дн
"Панель пищевых аллергенов №13 IgG (зеленый горошек, белые бобы, морковь, картофель - суммарно)",2310.00,17.31.A7,5-10 дн
"Панель пищевых аллергенов №15 IgG (апельсин, банан, яблоко, персик - суммарно)",2310.00,17.31.A8,5-10 дн
"Панель пищевых аллергенов №24 IgG (фундук, креветки, киви, банан - суммарно)",2310.00,17.31.A9,5-10 дн
"Аллергочип, ALEX2, 300 компонентов (включает определение общего IgE)",23700.00,17.35.A17,5-10 дн
"Аллергокомплекс пищевой PROTIA (Корея), IgE",5430.00,17.35.A18,5-10 дн
"Аллергокомплекс при атопии у детей и взрослых PROTIA (Корея), IgE",4945.00,17.35.A19,5-10 дн
"Аллергокомплекс расширенный PROTIA (Корея), IgE",7360.00,17.35.A20,5-10 дн
"Аллергокомплекс респираторный PROTIA (Корея), IgE",5430.00,17.35.A21,5-10 дн
"Местные анестетики № 2 Новокаин/Лидокаин, IgE",1515.00,17.35.D10,5-10 дн
"Аллергокомплекс смешанный №1, IgE, ИФА: клещ d1/d2, ольха, береза, лещина, см.трав, рожь, полынь, подорожник, кошка, лошадь, собака, A.alternata, яич.белок, молоко, арахис, лес.орех, морковь, пшенич.мука, соя",5920.00,17.35.D11,5-10 дн
"Аллергокомплекс респираторный №2,IgE, ИФА: клещ d1/d2, ольха, береза, лещина, дуб, см.трав, рожь, полынь, подорожник, кошка, лошадь, собака, мор.свинка, хомяк, кролик, Penic.notat., Cl.herbar., Asр.fumigat.,  A.alternata",5920.00,17.35.D12,5-10 дн
"Аллергокомплекс пищевой 3, IgE, ИФА: фундук, арахис, грец.орех, минд.орех, молоко, яич.белок/желток, казеин, картофель, сельдерей, морковь, томаты, треска, краб, апельсин, яблоко, пшенич.мука, рж.мука, кунжут, соя",5920.00,17.35.D13,5-10 дн
"Аллергокомплекс педиатрический 4, IgE, ИФА: клещ d1/d2, береза, см.трав, кошка, собака, A.alternata, молоко, а-лактальб., b-лактоглоб., казеин, яич.белок/желток, БСА, соя, морковь, картофель, пшенич.мука, фундук, арахис",5920.00,17.35.D14,5-10 дн
"Местные анестетики № 1 Артикаин/Скандонест, IgE",1515.00,17.35.D9,5-10 дн
"Овомукоид яйца, аллергокомпонент nGal d1 IgE (ImmunoCAP), f233",2525.00,17.36.A1,9 дн
"Арахис, аллергокомпонент IgE (ImmunoCAP), f423 rAra h2",2525.00,17.36.A10,9 дн
"Арахис, аллергокомпонент IgE (ImmunoCAP), f424 rAra h3",2525.00,17.36.A11,9 дн
"Арахис, аллергокомпонент IgE (ImmunoCAP), f427 rAra h9",2525.00,17.36.A12,9 дн
"Карп, аллергокомпонент IgE (ImmunoCAP), f355 rCyp c1",2525.00,17.36.A13,9 дн
"Омега-5 Глиадин пшеницы, аллергокомпонент IgE (ImmunoCAP), f416 rTri a19",2525.00,17.36.A14,9 дн
"Тропомиозин креветок, аллергокомпонент IgE (ImmunoCAP), f351 rPen a1",2525.00,17.36.A15,9 дн
"Треска атлантическая, аллергокомпонент IgE (ImmunoCAP), f426   rGad c 1",2525.00,17.36.A17,9 дн
"Грецкий орех, аллергокомпонент IgE (ImmunoCAP), f441 rJug r1",2525.00,17.36.A18,9 дн
"Грецкий орех, аллергокомпонент IgE (ImmunoCAP), f442 rJug r3 (заключение врача КЛД по исследовательскому отчету)",2525.00,17.36.A19,9 дн
"Казеин, коровье молоко, аллергокомпонент IgE (ImmunoCAP), f78 nBos d8",2525.00,17.36.A2,9 дн
"Кешью, аллергокомпонент IgE (ImmunoCAP), f443 rAna o3 (заключение врача КЛД по исследовательскому отчету)",2525.00,17.36.A20,9 дн
"Персик, аллергокомпонент IgE (ImmunoCAP), f420 rPru p3 (заключение врача КЛД по исследовательскому отчету)",2525.00,17.36.A21,9 дн
